Date,Close,MACD,Signal,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2022-05-09,20.040000915527344,-1.4330727374213552,-1.2186740737093067,27.238804111238295,28.659852826217637,20.92614742555238,True,False
2022-05-10,20.270000457763672,-1.614233177325687,-1.2977858944325829,33.35744892217534,28.736805102753266,20.21619515664615,True,False
2022-05-11,19.81999969482422,-1.7736696719886318,-1.3929626499437928,34.818726939661516,28.867148066315785,19.489852093901497,True,False
2022-05-12,20.5,-1.8241265061750518,-1.4791954211900447,37.86896526249255,28.483196100878907,19.157804074597166,True,False
2022-05-13,22.81999969482422,-1.6577992466921074,-1.5149161862904572,45.620669555132245,28.057756224290387,19.172243890150533,True,False
2022-05-16,22.639999389648438,-1.5229525663512113,-1.516523462302608,49.75945120792199,27.676129648250534,19.171870496707964,False,False
2022-05-17,23.950000762939453,-1.2954463389685884,-1.4723080376358042,50.77441563527488,27.094718354719564,19.412281805497724,False,False
2022-05-18,23.040000915527344,-1.175030378402898,-1.412852505789223,46.62337975993416,26.92752547288124,19.396474694965438,False,False
2022-05-19,23.610000610351562,-1.02182666864719,-1.3346473383608164,46.76165774305788,26.908704809782584,19.392295403840464,False,False
2022-05-20,23.270000457763672,-0.9172730430490468,-1.2511724792984626,42.933336893717446,26.86407244036269,19.376927735113384,False,False
2022-05-23,21.979999542236328,-0.9278106112059703,-1.1865001056799642,38.66749247185146,26.74877704850929,19.269223172743153,False,False
2022-05-24,20.31999969482422,-1.0579148406243988,-1.1607830526688512,30.74609116919433,26.81750731253146,18.961492969756137,False,False
2022-05-25,20.520000457763672,-1.1318378673060678,-1.1549940155962946,40.19682216439695,26.774033659155975,18.684966737572537,False,False
2022-05-26,22.079999923706055,-1.0524119294765732,-1.1344775983723503,49.28263727434729,26.632122837192483,18.626877559536034,False,False
2022-05-27,22.5,-0.9446860526753049,-1.0965192892329414,60.14850877474595,26.41654300438335,18.63145733131001,False,False
2022-05-31,23.5,-0.7697477041537866,-1.0311649722171106,62.52908742934747,26.11536210531137,18.74363829141715,False,False
2022-06-01,22.920000076293945,-0.6701834910590243,-0.9589686759854934,61.90476120717274,25.673328704363975,18.915671616070597,False,False
2022-06-02,25.149999618530273,-0.406648221121948,-0.8485045850127844,65.95744374467608,25.213328126587385,19.218672224364767,False,False
2022-06-03,23.969999313354492,-0.289671629747982,-0.7367379939598239,54.28145729364743,25.333998675644274,19.18400154560817,False,False
2022-06-06,25.209999084472656,-0.0958048413202306,-0.6085513634319052,58.868182874828186,25.75191637670001,19.05908368433515,False,False
2022-06-07,26.1200008392334,0.1297696182701209,-0.4608871670915,57.70049595118271,26.250136200904315,19.168863852501445,False,False
2022-06-08,27.530000686645508,0.41750150898751315,-0.2852094318756974,65.38724858527436,27.024772795628945,19.120227280665002,False,False
2022-06-09,26.010000228881836,0.516921027773698,-0.12478333994581836,57.722005091908045,27.229939453719204,19.534060675980506,False,False
2022-06-10,25.809999465942383,0.5729684984084606,0.014767027725037449,58.24674818805017,27.38946631885959,19.905533757434355,False,False
2022-06-13,23.950000762939453,0.4619748139265276,0.10420858496533549,56.16781800288551,27.42743611273015,19.980564070375323,False,False
2022-06-14,25.75,0.5133389625004838,0.18603466047236517,66.85288671462467,27.654907263671326,20.064092980469297,False,False
2022-06-15,27.0,0.6474466120954574,0.2783170507969836,68.88111771520083,28.059448204196187,19.964551963650493,False,False
2022-06-16,25.65999984741211,0.6382437998953883,0.3503024006166645,60.5667054629323,28.227415171974403,20.05858488906075,False,False
2022-06-17,28.170000076293945,0.8239881242660161,0.4450395453465349,64.8975298783697,28.822719593678325,19.919280413951068,False,False
2022-06-21,30.09000015258789,1.1132865255226818,0.5786889413817643,66.51629047761729,29.80696608247908,19.61703389463274,False,False
2022-06-22,30.579999923706055,1.366346092003596,0.7362203715061306,69.28499398791436,30.696994424012853,19.587005591245937,False,False
2022-06-23,32.970001220703125,1.73969661260233,0.9369156197253705,69.53047122461962,31.871956208082125,19.677043959764553,False,False
2022-06-24,35.290000915527344,2.1974533025434155,1.1890231562889797,76.74858379826455,33.45073001329161,19.575270200331442,False,True
2022-06-27,34.400001525878906,2.4600552786501595,1.4432295807612157,72.0807348268639,34.57836096486055,19.67963940897978,False,True
2022-06-28,32.65999984741211,2.4989591969341554,1.6543755039958037,65.11090253281606,35.14271267982889,20.131287678752653,False,True
2022-06-29,32.099998474121094,2.4562888330829153,1.8147581698132262,60.99085417739111,35.56015846002948,20.573841745964174,False,True
